dms_id,stat,n_finite,n_distinct,frac_tied,ref_mean,T_mean,T_median,T_min,T_max,T_sd,ks_p_rand,ks_D_rand,ks_p_mid,ks_p_cons,within_tol,grid_guard_pass,live,note
KRAS_SOS1_norfitness_8BE4,rate_mad_tau4,200,147,0.003769,0.02662418655097614,1.000043488368429,0.9957807826591304,0.7617852193470704,1.3124316566429743,0.09326751835868484,0.9999999999999986,0.012240427744720728,0.9999999998322193,0.9993642592607782,True,True,True,
KRAS_SOS1_norfitness_8BE4,rate_mad_tau5,200,125,0.005126,0.013160550735116896,1.00007000125203,0.9946509058978924,0.7017505570998644,1.3738215430007146,0.11832808399360736,0.9999999999999863,0.012656882255398738,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_SOS1_norfitness_8BE4,rate_mad_tau6,200,93,0.009799,0.006628705712219812,1.0000950765939243,0.9999087467539876,0.6396963272006019,1.4348005218704938,0.13790271245026461,0.9999999999980598,0.013745276285888508,0.9999999132077095,0.9914365247149419,True,True,True,
KRAS_SOS1_norfitness_8BE4,rate_mad_tau8,200,48,0.025126,0.0015976741383465895,1.0002366964506246,1.0089082907770424,0.3948039678790742,1.7794901065449011,0.21757595906158086,0.9999753095039885,0.021285707783273322,0.9796684154603761,0.45015844138021865,True,True,True,
KRAS_SOS1_norfitness_8BE4,TR1,200,200,0.0,5.602962654426797,1.000018255615506,0.9979841347628733,0.8533061961411783,1.192556990947385,0.06042685000862212,1.0,0.004993361042582134,1.0,1.0,True,True,True,
KRAS_SOS1_norfitness_8BE4,TR2,200,200,0.0,3.3437199268437166,1.0000073977520318,1.0001064000413868,0.9037300331926792,1.0973314393112925,0.03846543431382593,1.0,0.0049842888804917385,1.0,1.0,True,True,True,
KRAS_SOS1_norfitness_8BE4,TR1_mad,200,200,0.0,6.484678072539882,1.000007640158359,1.00182681542528,0.8785588629469876,1.1078010071154858,0.03908899398044645,1.0,0.004988247600583251,1.0,1.0,True,True,True,
KRAS_SOS1_norfitness_8BE4,TR2_mad,200,200,0.0,4.08616793009373,1.0000044997246682,1.0006651449357489,0.9047499328878009,1.0835955544266322,0.02999853879587547,1.0,0.004987386553818501,1.0,1.0,True,True,True,
SARS2-RBD_ACE2_deltaKd_6M0J,rate_sigma_tau2,200,200,0.0,0.12207496463696475,1.0000351687125582,0.9898477631043663,0.7287768688491613,1.2949291882423886,0.08387662371271151,1.0,0.004980246264265964,1.0,1.0,True,True,True,
SARS2-RBD_ACE2_deltaKd_6M0J,rate_sigma_tau3,200,199,5e-05,0.04382555675303638,1.000054693008193,0.9876389940349632,0.7032262495143137,1.4122989669494677,0.10460093560817293,1.0,0.0073173554913796846,1.0,1.0,True,True,True,
SARS2-RBD_ACE2_deltaKd_6M0J,rate_sigma_tau4,200,198,0.000151,0.015097356145230063,1.0001187506269007,0.9840105558278839,0.6695355380284549,1.7834974647769017,0.15415490557459005,1.0,0.008538226833709694,1.0,0.9999999998322193,True,True,True,
SARS2-RBD_ACE2_deltaKd_6M0J,rate_sigma_tau5,200,199,5e-05,0.004364125485044684,1.0003410338453798,0.9683837604349752,0.4101414230786044,2.321980400254468,0.26131384430653626,1.0,0.004971657514750136,1.0,1.0,True,True,True,
