i_amp,i_pi,rep,amp,pi,n_inj_variants,n_Pa,pi_edge_realised,amp_recovered,amp_background,resid_mad_oof,n_iter_used,pi_hat,rho_hat,dBIC,pi_ci_lo,pi_ci_hi,s1,s2,TR,TR_ref_p995,TR_pctile,clause1_TR,clause2_sweep,clause3_mixture,run_sigma,run_mad,T_max,supported,refuted,DMS_id,n_Pa_obs,sigma_bias_ratio
3,0,1,6.0,0.001,31,183690,0.0003375251782895095,4.251126336995302,0.7459188469284497,0.19209963810134406,10.0,0.10321873268800419,7.941098053730928,-213763.32064293977,0.1015212902495883,0.10491617512642008,1.0314924219368276,8.191182464280743,14.953537651922595,19.014652077609615,86.0,False,False,False,0,0,1.3301667943200666,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0127969474198137
3,1,1,6.0,0.005,244,183690,0.003397027600849257,4.5372832600440764,0.6817912719280443,0.19374436782841273,10.0,0.10876504445715428,6.824130957197134,-178640.44189366756,0.10696559409406743,0.11056449482024112,0.968188821955988,6.6070473123220825,14.361085147702003,19.014652077609615,77.5,False,False,False,0,0,0.9779613994595316,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0214683705592316
3,2,1,6.0,0.02,934,183690,0.015711252653927813,4.613147171512226,0.7115816562834771,0.20455914362235303,10.0,0.14085684526276218,6.541530022655195,-173154.879056209,0.13884512118085773,0.14286856934466663,0.9594353242980117,6.276174978691366,13.562251693334009,19.014652077609615,66.5,False,False,False,0,0,1.1510334228411423,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.07848655143344
0,0,2,2.0,0.001,50,183690,0.0005443954488540476,1.5244365830311308,0.715285823205259,0.19393792718815125,10.0,0.12644937869298356,5.396366136962082,-129593.57967597421,0.12442542792837774,0.12847332945758938,0.9713398157679745,5.241705289293285,10.70257257371666,19.014652077609615,16.0,False,False,False,0,0,1.004208706206031,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0224888635212448
0,1,2,2.0,0.005,243,183690,0.012341444825521259,1.8615545845842973,0.7385840537074262,0.18879355097950368,10.0,0.18231236490317798,4.8823062302107685,-113591.0085155369,0.1798963561388195,0.18472837366753647,0.9603854228002529,4.688895733141277,9.42415718796105,19.014652077609615,3.5000000000000004,False,False,False,0,0,1.1974284319830357,False,True,GB1_IgG-Fc_fitness_1FCC,183690,0.9953664359519191
0,2,2,2.0,0.02,921,183690,0.02757362948445751,1.9295202507010236,0.758563473218478,0.19684858894903692,10.0,0.13160722525401608,5.539541194516016,-136047.1945725266,0.12956124264820135,0.1336532078598308,1.0545891263902998,5.841939908927722,10.664246006144937,19.014652077609615,15.5,False,False,False,0,0,1.0726787727831166,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0378345943905627
1,0,2,3.0,0.001,41,183690,0.000446404268060319,2.409100854730392,0.7325016239996287,0.185074366220525,10.0,0.10776513599142142,6.395963509793424,-162243.74086114345,0.10596258026448278,0.10956769171836005,0.9951803348709519,6.365137107498609,12.398445459009299,19.014652077609615,42.5,False,False,False,0,0,0.9921684971699977,False,True,GB1_IgG-Fc_fitness_1FCC,183690,0.9757579712613366
1,1,2,3.0,0.005,247,183690,0.00904240840546573,2.5638786353143983,0.7931413103082534,0.1959574893474456,10.0,0.13468551053774439,6.409363273616455,-168802.99838109175,0.13268799359848024,0.13668302747700853,1.1018102180123721,7.061901945823837,12.408121105837811,19.014652077609615,42.5,False,False,False,0,0,1.4132608923248164,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0331364962303644
1,2,2,3.0,0.02,934,183690,0.015526158201317437,3.0102185740987393,0.7241202837813154,0.19630840714852343,10.0,0.12128906784200559,6.921643635236769,-184018.25928439095,0.11942149083186654,0.12315664485214464,0.9984137288388892,6.910664031550707,13.445006271710854,19.014652077609615,61.5,False,False,False,0,0,1.20541544293893,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0349866219320036
2,0,2,4.0,0.001,38,183690,0.004012194458054331,3.62871831983503,0.7067733586199586,0.18765107692870248,10.0,0.11595160887548357,5.984121995883566,-149573.57584306877,0.11405594955001752,0.11784726820094962,0.9636133447198816,5.7663798116651765,11.808930330851517,19.014652077609615,32.0,False,False,False,0,0,1.0179806893330678,False,True,GB1_IgG-Fc_fitness_1FCC,183690,0.9893430293354665
2,1,2,4.0,0.005,233,183690,0.0025695465185911048,3.0886881687893935,0.7229195633545022,0.1895060216567585,10.0,0.138508344421967,5.641640713305233,-140625.77012233506,0.13643191014176254,0.14058477870217145,0.9709079123697318,5.477513607295269,11.581912012723667,19.014652077609615,28.999999999999996,False,False,False,0,0,1.0335498746192295,False,True,GB1_IgG-Fc_fitness_1FCC,183690,0.9991227581094296
